INST_NAME,STATE,STATE_FIPS,CC_BASIC,CONTROL,FAM_INC,SAT_AVG,ADM_RATE,UG_ENRL,AVG_FAC_SAL,RET_RATE,AVG_GRANT,MD_EARN_10,MN_EARN_10,UNEMP_RATE,GRAD_DEBT_MDN,GRAD_RATE_6,GRAD_RATE_4
University of Alaska Fairbanks,AK,2,R2,1,48958.06457,1128,0.7611,4657,9584,0.7536,0.2202,38700,45100,6.559999943,19407,0.3154,0.2041
University of Alabama at Birmingham,AL,1,R1,1,51306.67431,1220,0.9211,13186,10717,0.8303,0.3632,41200,48400,3.450000048,22500,0.5829,0.3462
University of Alabama in Huntsville,AL,1,R2,1,61096.58895,1314,0.8087,7458,9442,0.8269,0.2698,46700,52000,3.640000105,22021,0.5187,0.2195
The University of Alabama,AL,1,R1,1,91846.74962,1252,0.5906,32177,10225,0.8748,0.1802,44500,51600,3.25999999,23250,0.7188,0.5049
Auburn University,AL,1,R1,1,92148.62652,1289,0.7543,24147,10428,0.9073,0.1537,48800,56300,3.140000105,21000,0.7812,0.4991
Samford University,AL,1,R3,0,108313.9404,1228,0.8208,3524,8888,0.8861,0.1227,49900,59800,2.680000067,19304,0.7636,0.6404
University of South Alabama,AL,1,R2,1,52728.84502,1186,0.7931,10035,7239,0.7604,0.3922,37800,46800,3.900000095,25000,0.4417,0.2163
University of Arkansas at Little Rock,AR,5,R2,1,39269.29246,1099,0.7933,6328,7623,0.6855,0.36,34900,39500,3.630000114,21043,0.3945,0.195
University of Arkansas,AR,5,R1,1,86258.19241,1238,0.7747,23121,9866,0.8301,0.1998,44900,52700,3.799999952,21500,0.6553,0.4707
Arkansas State University-Main Campus,AR,5,R2,1,46692.78519,1189,0.7721,8623,6902,0.7454,0.4117,32200,36600,3.75,21000,0.4822,0.3098
University of Central Arkansas,AR,5,R3,1,51621.33825,1186,0.911,8906,7040,0.7312,0.4298,38300,42500,3.650000095,21500,0.4113,0.2268
Harding University,AR,5,R3,0,83701.9801,1222,0.7462,3953,7473,0.8355,0.2524,40900,47000,3.650000095,26000,0.6719,0.459
Arizona State University-Tempe,AZ,4,R1,1,56365.77633,1240,0.8478,42529,11451,0.8711,0.3026,47700,55500,3.150000095,20349,0.6904,0.5191
University of Arizona,AZ,4,R1,1,69476.75817,1198,0.8442,33509,11147,0.8229,0.2896,47300,56000,3.269999981,20000,0.6448,0.4655
Azusa Pacific University,CA,6,R2,0,63280.35606,1147,0.6851,5545,9160,0.8211,0.326,51100,55900,3.829999924,24500,0.6263,0.4531
Biola University,CA,6,R3,0,83761.27346,1170,0.7347,4005,9348,0.8643,0.3168,44500,50700,3.630000114,24813,0.7298,0.5536
California Institute of Technology,CA,6,R1,0,74238.77174,1566,0.0662,948,19993,0.9809,0.1415,85900,106300,3.140000105,8700,0.9202,0.8061
California State University-Fresno,CA,6,R3,1,35012.97329,1019,0.5753,21732,9393,0.8127,0.5954,44700,48500,6.599999905,15000,0.5399,0.1551
University of California-Berkeley,CA,6,R1,1,54799.68239,1448,0.1484,30845,17125,0.9705,0.2676,64700,79000,3.690000057,13750,0.914,0.7449
University of California-Davis,CA,6,R1,1,51677.66853,1292,0.4107,30698,14603,0.9242,0.3822,58200,68100,3.849999905,13000,0.8645,0.6085
University of California-Irvine,CA,6,R1,1,48922.47459,1316,0.2876,29722,15447,0.935,0.4212,58400,65800,3.74000001,15893,0.8337,0.6761
University of California-Los Angeles,CA,6,R1,1,54617.43575,1423,0.1404,31568,18392,0.9681,0.3382,60700,73200,4.070000172,15000,0.9051,0.7686
University of California-Riverside,CA,6,R1,1,48858.90877,1229,0.5057,20574,13408,0.8904,0.5386,49700,55300,4.389999866,19000,0.7453,0.5482
University of California-San Diego,CA,6,R1,1,53756.50333,1372,0.3006,30279,16373,0.9423,0.3629,59900,69600,3.650000095,16808,0.859,0.616
University of California-Santa Barbara,CA,6,R1,1,56328.70061,1360,0.322,23063,15994,0.925,0.3707,55300,62400,4.099999905,15306,0.8185,0.6811
University of California-Santa Cruz,CA,6,R1,1,61406.14323,1311,0.4737,17792,14426,0.8921,0.3725,46900,53800,3.660000086,19000,0.7447,0.4912
Chapman University,CA,6,R2,0,105779.2037,1288,0.5356,7026,11826,0.901,0.1917,54500,56600,4,21250,0.7877,0.7028
University of La Verne,CA,6,R3,0,50727.65347,1120,0.5089,5098,9264,0.8107,0.4501,49200,52700,4.559999943,25000,0.6912,0.5408
Loyola Marymount University,CA,6,R2,0,106641.7749,1321,0.4713,6557,11733,0.9055,0.1748,61300,71600,3.75,20500,0.8358,0.7565
University of the Pacific,CA,6,R3,0,67087.36056,1240,0.6348,3665,10587,0.8341,0.365,71700,84200,4.269999981,20500,0.7309,0.5045
Pepperdine University,CA,6,R3,0,102190.458,1330,0.3565,3619,12387,0.9052,0.1676,65500,77600,3.400000095,25000,0.831,0.7294
San Diego State University,CA,6,R2,1,53802.04847,1213,0.3458,30018,10903,0.8876,0.3397,51000,55900,3.930000067,15340,0.7409,0.3646
University of San Diego,CA,6,R2,0,102808.6055,1285,0.5292,5760,12284,0.9009,0.1779,60000,71100,3.25999999,23782,0.8041,0.6819
University of San Francisco,CA,6,R3,0,84137.19188,1237,0.6455,6661,12379,0.8423,0.274,62300,74000,3.220000029,23250,0.7498,0.6573
Santa Clara University,CA,6,R3,0,132762.8962,1366,0.4991,5504,12700,0.9437,0.1055,72600,85300,2.970000029,20389,0.9052,0.8401
University of Southern California,CA,6,R1,0,80335.79216,1445,0.1296,19548,14712,0.9656,0.2115,74000,88800,3.670000076,19500,0.9239,0.783
Stanford University,CA,6,R1,0,80447.9067,1497,0.0436,7083,20279,0.986,0.1606,94000,141300,3.450000048,11341,0.9438,0.7486
University of California-Merced,CA,6,R2,1,43308.85337,1123,0.6617,7881,11225,0.8103,0.6434,49000,51647,3.849999905,19000,0.6615,0.3794
University of Colorado Denver/Anschutz Medical Campus,CO,8,R1,1,52017.04837,1132,0.6363,11892,10640,0.6926,0.265,56400,71200,2.809999943,21022,0.4807,0.2179
University of Colorado Colorado Springs,CO,8,R2,1,60795.73255,1123,0.9118,10475,8322,0.6759,0.3221,43900,49300,2.869999886,21500,0.4459,0.2421
University of Colorado Boulder,CO,8,R1,1,98821.99765,1281,0.8154,29753,11684,0.8705,0.1644,50800,59700,2.730000019,19500,0.7077,0.4745
Colorado School of Mines,CO,8,R2,1,107141.6165,1383,0.4919,4906,12065,0.9241,0.1606,84900,95600,2.630000114,25000,0.8019,0.5911
Colorado State University-Fort Collins,CO,8,R1,1,85721.23465,1197,0.8387,24210,10039,0.8227,0.2318,47100,53400,2.75,20500,0.7115,0.4537
University of Denver,CO,8,R2,0,113088.0572,1300,0.5647,5791,10796,0.8734,0.1676,56500,65400,2.75999999,21333,0.7722,0.6725
University of Northern Colorado,CO,8,R3,1,67385.38634,1099,0.9075,8903,7785,0.7179,0.3001,42000,47100,2.779999971,20495,0.473,0.2802
